Year,Species,Source,Harvest ('000 t),Landed Value ($ million),Wholesale Value ($ million)
2021,Chinook Salmon,Wild Commercial,1.57,13.82,25.89
2022,Chinook Salmon,Wild Commercial,1.36,10.63,20.24
2023,Chinook Salmon,Wild Commercial,1.48,11.02,21.55
2021,Chum Salmon,Wild Commercial,0.32,0.92,9.92
2022,Chum Salmon,Wild Commercial,0.94,4.29,12.22
2023,Chum Salmon,Wild Commercial,0.48,1.24,8.49
2021,Coho Salmon,Wild Commercial,0.34,1.69,19.85
2022,Coho Salmon,Wild Commercial,0.49,2.91,20.27
2023,Coho Salmon,Wild Commercial,0.51,2.66,26.07
2021,Pink Salmon,Wild Commercial,1.49,1.05,7.17
2022,Pink Salmon,Wild Commercial,1.81,1.53,15.88
2023,Pink Salmon,Wild Commercial,3.56,2.03,18.22
2021,Sockeye Salmon,Wild Commercial,0.5,2.43,123.02
2022,Sockeye Salmon,Wild Commercial,3.61,20.88,207.24
2023,Sockeye Salmon,Wild Commercial,1.21,6.41,155.13
2021,Atlantic Salmon,Aquaculture,81.12,663.91,730.97
2022,Atlantic Salmon,Aquaculture,84.25,837.62,973.16
2023,Atlantic Salmon,Aquaculture,47.56,463.82,553.53
2021,Pacific Salmon,Aquaculture,3.05,39.01,46.01
2022,Pacific Salmon,Aquaculture,2.28,33.27,50.72
2023,Pacific Salmon,Aquaculture,2.5,40.49,44.07
2021,Herring,Wild Commercial,13.6,9.67,46.28
2022,Herring,Wild Commercial,4.72,2.53,49.79
2023,Herring,Wild Commercial,6.19,5.13,34.69
2021,Arrowtooth Flounders,Wild Commercial,2.73,0.66,2.55
2022,Arrowtooth Flounders,Wild Commercial,4.2,1.61,4.9
2023,Arrowtooth Flounders,Wild Commercial,3.43,1.14,4.32
2021,Hake,Wild Commercial,67.58,14.9,69.13
2022,Hake,Wild Commercial,38.4,26.55,51.53
2023,Hake,Wild Commercial,30.31,24.72,34.95
2021,Halibut,Wild Commercial,3.21,43.54,89.88
2022,Halibut,Wild Commercial,3.44,60.3,97.84
2023,Halibut,Wild Commercial,3.16,53.65,61.69
2021,Lingcod,Wild Commercial,1.26,4.79,9.98
2022,Lingcod,Wild Commercial,1.62,8.59,12
2023,Lingcod,Wild Commercial,2.04,10,13.46
2021,Pacific Cod,Wild Commercial,0.72,1.15,6.42
2022,Pacific Cod,Wild Commercial,0.83,1.47,6.61
2023,Pacific Cod,Wild Commercial,0.59,0.91,8.45
2021,Pollock,Wild Commercial,9.48,3.97,8.5
2022,Pollock,Wild Commercial,8.95,6.41,11.71
2023,Pollock,Wild Commercial,5.88,2.6,7.64
2021,Rockfish,Wild Commercial,16.01,14.8,42.19
2022,Rockfish,Wild Commercial,14.82,20.71,33.6
2023,Rockfish,Wild Commercial,16.04,20.95,25.61
